team,contest,problem,designation,country,advisor,institution_raw,special_award,source_pdf,page
2604341,MCM,A,Meritorious Winner,China,,,,2026_MCM_Problem_A_Results.pdf,19
2621244,MCM,A,Meritorious Winner,China,Zhouping Li,,,2026_MCM_Problem_A_Results.pdf,46
2626217,MCM,A,Meritorious Winner,China,,,,2026_MCM_Problem_A_Results.pdf,53
2631577,MCM,A,Meritorious Winner,China,,,,2026_MCM_Problem_A_Results.pdf,61
2600023,MCM,A,Honorable Mention,China,ChenYanren,,,2026_MCM_Problem_A_Results.pdf,62
2600686,MCM,A,Honorable Mention,China,luyingfei,,,2026_MCM_Problem_A_Results.pdf,66
2602985,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,79
2603522,MCM,A,Honorable Mention,China,jiankun Mu,,,2026_MCM_Problem_A_Results.pdf,82
2603846,MCM,A,Honorable Mention,China,Zhuoran Li,,,2026_MCM_Problem_A_Results.pdf,83
2603949,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,83
2606289,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,95
2607439,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,101
2612562,MCM,A,Honorable Mention,China,,门,,2026_MCM_Problem_A_Results.pdf,126
2613644,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,133
2614693,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,139
2615752,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,145
2615862,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,145
2617649,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,154
2621779,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,176
2622717,MCM,A,Honorable Mention,China,Zhangxiaohui,,,2026_MCM_Problem_A_Results.pdf,180
2624126,MCM,A,Honorable Mention,China,,,,2026_MCM_Problem_A_Results.pdf,188
